其他花類	FA0 
濕木耳	MC1
濕木耳 (盒裝)	MC2
濕香菇 (其他)	MD0
濕香菇	MD1
金絲菇 (其他)	ME0
金絲菇 (金針菇)	ME1
金絲菇 (盒裝)	ME2
蠔菇 (其他)	MF0
蠔菇 (鮑魚菇)	MF1
蠔菇 (盒裝)	MF2
巴西蘑菇(其他)	MG0
巴西蘑菇	MG1
巴西蘑菇(盒裝)	MG2
松茸	MH1
松茸 (盒裝)	MH2
秀珍菇 (其他)	MI0
秀珍菇	MI1
秀珍菇 (盒裝)	MI2
杏鮑菇 (其他)	MJ0
杏鮑菇	MJ1
杏鮑菇 (盒裝)	MJ2
鴻禧菇 (其他)	MK0
鴻禧菇	MK1
鴻禧菇 (盒裝)	MK2
珊瑚菇 (其他)	ML0
珊瑚菇	ML1
珊瑚菇 (盒裝)	ML2
猴頭菇 (其他)	MM0
猴頭菇	MM1
猴頭菇 (盒裝)	MM2
柳松菇 (其他)	MN0
柳松菇	MN1
柳松菇 (盒裝)	MN2
其他菇類	MX1
鹹菜 (清心)	OA1
鹹菜 (帶葉)	OA2
鹹菜 (進口)	OA9
雪里紅	OB1
榨菜	OC1
蘿蔔乾	OD1
醃瓜 (乾)	OE1
醃瓜 (漬)	OE2
熟筍 (桂竹筍)	OG1
熟筍 (箭竹筍)	OG2
桶筍 (麻竹筍)	OH1
桶筍 (綠竹筍)	OH2
桶筍 (桂竹筍)	OH3
桶筍 (箭竹筍)	OH4
筍乾	OI1
筍絲	OI2
筍片	OI3
筍茸	OI4
朴菜	OL1
其他	OX1
其他 (進口)	OX9
蘿蔔 (其他)	SA0
蘿蔔 (梅花)	SA1
蘿蔔 (椿仔)	SA2
蘿蔔 (矸仔)	SA3
蘿蔔 (櫻桃)	SA4
蘿蔔 (青色)	SA5
蘿蔔 (白玉蘿蔔)	SA6
蘿蔔 (進口)	SA9
胡蘿蔔 (其他)	SB0
胡蘿蔔 (未洗)	SB1
胡蘿蔔 (清洗)	SB2
胡蘿蔔 (進口)	SB9
馬鈴薯 (本產)	SC1
馬鈴薯 (進口)	SC9
洋蔥 (本產)	SD1
洋蔥 (進口)	SD9
青蔥 (日蔥)	SE1
青蔥 (北蔥)	SE2
青蔥 (大蔥)	SE3
青蔥 (珠蔥)	SE4
青蔥 (紅蔥頭)	SE5
青蔥 (粉蔥)	SE6
青蔥 (進口)	SE9
韭菜 (白頭)	SF1
韭菜 (韭菜黃)	SF2
韭菜 (韭菜花)	SF3
韭菜 (青頭)	SF4
大蒜 (硬梗)	SG1
大蒜 (軟梗)	SG2
大蒜 (蒜苔)	SG3
大蒜 (蔥蒜)	SG4
大蒜 (蒜頭)	SG5
大蒜 (蒜仁)	SG6
大蒜 (蒜瓣)	SG7
大蒜 (進口)	SG9
竹筍 (麻竹筍)	SH1
竹筍 (綠竹筍)	SH2
竹筍 (桂竹筍)	SH3
竹筍 (孟宗筍)	SH4
竹筍 (烏殼綠)	SH5
竹筍 (箭竹筍)	SH6
竹筍 (去殼)	SH7
竹筍 (進口)	SH9
萵苣莖	SI1
芋 (麵芋)	SJ1
芋 (檳榔心芋)	SJ2
芋 (里芋)	SJ3
芋 (芋莖)	SJ4
芋 (進口)	SJ9
荸薺	SK1
荸薺 (加工)	SK2
豆薯	SL1
菊芋 (雪蓮薯)	SL2
牛蒡	SM1
牛蒡 (進口)	SM9
蓮藕	SN1
蓮藕 (蓮子)	SN2
蓮藕 (進口)	SN9
甘薯 (其他)	SO0
甘薯 (改良種)	SO1
甘薯 (芋仔甘薯)	SO2
薑 (其他)	SP0
薑 (老薑)	SP1
薑 (嫩薑)	SP2
薑 (粉薑)	SP3
薑 (進口)	SP9
茭白筍 (帶殼)	SQ1
茭白筍 (去殼)	SQ2
茭白筍 (進口)	SQ9
菱角 (生菱角)	SR1
菱角 (去殼)	SR3
菱角 (熟菱角)	SR4
大心菜 (其他)	SS0
大心菜 (帶葉)	SS1
蕎頭 (露蕎)	ST1
薯蕷 (其他)	SU0
薯蕷 (紅薯蕷)	SU1
薯蕷 (白薯蕷)	SU2
薯蕷 (樹薯)	SU3
薯蕷 (粉薯)	SU4
薯蕷 (進口)	SU9
蘆筍 (白蘆筍)	SV1
蘆筍 (綠蘆筍)	SV2
蘆筍 (蘆筍花)	SV3
蘆筍 (進口)	SV9
球莖甘藍	SW1
芽菜類 (其他)	SX0
芽菜類 (綠豆芽)	SX1
芽菜類 (黃豆芽)	SX2
芽菜類 (豌豆芽)	SX3
芽菜類 (苜蓿芽)	SX4
芽菜類 (蘿蔔嬰)	SX5
慈菇	SY1
半天筍	SZ1
甘蔗筍	SZ2
金針筍	SZ3
百合	SZ4
草石蠶	SZ5
半天花	SZ6
其他	ZZZ
